,Predition,Y
0,0.6662063,1.0
1,0.6941421,1.0
2,0.5935748,1.0
3,0.5216619,1.0
4,0.451776,0.0
5,0.44183812,0.0
6,0.44670832,0.0
7,0.4277357,0.0
8,0.4701843,0.0
9,0.7161322,1.0
10,0.4456755,0.0
11,0.43015233,0.0
12,0.4489842,0.0
13,0.44328424,0.0
14,0.6476406,1.0
15,0.45007145,0.0
16,0.5299199,1.0
17,0.72346365,1.0
18,0.4959669,0.0
19,0.43745518,0.0
20,0.4766482,0.0
21,0.44883317,0.0
22,0.43165267,0.0
23,0.6743103,1.0
24,0.44640917,0.0
25,0.45073035,0.0
26,0.5544416,1.0
27,0.5183473,1.0
28,0.62382483,1.0
29,0.5922286,1.0
30,0.4649781,0.0
31,0.6944544,1.0
32,0.5713859,1.0
33,0.48198828,0.0
34,0.61428666,1.0
35,0.69108695,1.0
36,0.44503665,0.0
37,0.44442648,0.0
38,0.47132432,0.0
39,0.6514548,1.0
40,0.43712598,0.0
41,0.72639513,1.0
42,0.66046095,1.0
43,0.44755358,0.0
44,0.4543975,0.0
45,0.6517484,1.0
46,0.4281896,0.0
47,0.45835835,1.0
48,0.5889317,1.0
49,0.6531396,1.0
50,0.62872505,1.0
51,0.45652348,0.0
52,0.49561375,0.0
53,0.5662866,1.0
54,0.7259337,1.0
55,0.4735737,0.0
56,0.702574,1.0
57,0.44052422,0.0
58,0.451827,0.0
59,0.45180824,0.0
60,0.42471844,0.0
61,0.4264602,0.0
62,0.52756846,1.0
63,0.45259622,0.0
64,0.6810727,1.0
65,0.68883824,1.0
66,0.5879706,1.0
67,0.43365613,0.0
68,0.7214287,1.0
69,0.68198663,1.0
70,0.43435472,0.0
71,0.44545662,0.0
72,0.43592831,0.0
73,0.443344,0.0
74,0.506491,0.0
75,0.47475785,0.0
76,0.58843666,1.0
77,0.64826226,1.0
78,0.44410697,0.0
79,0.53715897,1.0
80,0.4709432,0.0
81,0.4624382,0.0
82,0.44306862,0.0
83,0.4488907,0.0
84,0.6657858,1.0
85,0.7061115,1.0
86,0.6977041,1.0
87,0.43764725,0.0
88,0.44916058,0.0
89,0.5398387,1.0
90,0.43288526,0.0
91,0.44876677,0.0
92,0.7279836,1.0
93,0.70144916,1.0
94,0.45211834,0.0
95,0.639011,1.0
96,0.68515956,1.0
97,0.565897,1.0
98,0.6299535,1.0
99,0.5493474,1.0
100,0.75862813,1.0
101,0.470895,1.0
102,0.43327278,0.0
103,0.445647,0.0
104,0.45046577,0.0
105,0.4818554,0.0
106,0.4324205,0.0
107,0.47162336,0.0
108,0.6532248,1.0
109,0.44297945,0.0
110,0.5519758,1.0
111,0.46783483,0.0
112,0.44199425,0.0
113,0.43272668,0.0
114,0.47449777,0.0
115,0.44204527,0.0
116,0.4830526,0.0
117,0.44240543,0.0
118,0.4863881,0.0
119,0.7208935,1.0
120,0.60448277,1.0
121,0.44565874,0.0
122,0.48656836,0.0
123,0.44197536,0.0
124,0.47750804,1.0
125,0.436593,0.0
126,0.45283747,0.0
127,0.43933386,0.0
128,0.46245223,0.0
129,0.7451176,1.0
130,0.4421571,0.0
131,0.4388803,0.0
132,0.45323706,0.0
133,0.4830986,0.0
134,0.5408736,1.0
135,0.44395578,0.0
136,0.72655284,1.0
137,0.47891736,0.0
138,0.44383085,0.0
139,0.7320076,1.0
140,0.425857,0.0
141,0.7665468,1.0
142,0.442253,0.0
143,0.6309296,1.0
144,0.66732264,1.0
145,0.65704167,1.0
146,0.76478785,1.0
147,0.7558577,1.0
148,0.46400884,0.0
149,0.4488902,0.0
150,0.47106206,0.0
151,0.45710707,0.0
152,0.6625155,1.0
153,0.47621387,0.0
154,0.45292646,0.0
155,0.6930136,1.0
156,0.72139627,1.0
157,0.48951268,0.0
158,0.44210523,0.0
159,0.45115304,0.0
160,0.44597304,0.0
161,0.7231411,1.0
162,0.69931304,1.0
163,0.46132994,0.0
164,0.44810385,0.0
165,0.6560759,1.0
166,0.6638124,1.0
167,0.44030303,0.0
168,0.47031128,0.0
169,0.4438269,0.0
170,0.45061564,0.0
171,0.46637043,0.0
172,0.69555444,1.0
173,0.48341346,0.0
174,0.45330137,0.0
175,0.45442927,0.0
176,0.7038027,1.0
177,0.44039977,0.0
178,0.7314142,1.0
179,0.44194245,0.0
180,0.48476818,0.0
181,0.4389577,0.0
182,0.7297817,1.0
183,0.44243324,0.0
184,0.63366663,1.0
185,0.4622926,1.0
186,0.67163455,1.0
187,0.42866936,0.0
188,0.44522828,0.0
189,0.5469681,1.0
190,0.649333,1.0
191,0.45106098,0.0
192,0.7153075,1.0
193,0.7181408,1.0
194,0.69246334,1.0
195,0.447025,0.0
196,0.6221765,1.0
197,0.44337693,0.0
198,0.45851612,0.0
199,0.4415724,0.0
200,0.4492004,0.0
201,0.43034205,0.0
202,0.7157816,1.0
203,0.6313921,1.0
204,0.4989444,1.0
205,0.563395,1.0
206,0.44886926,0.0
207,0.5375257,1.0
208,0.63379693,1.0
209,0.45411506,0.0
210,0.43610513,0.0
211,0.43437538,0.0
212,0.758787,1.0
213,0.46307224,0.0
214,0.4737939,0.0
215,0.674088,1.0
216,0.6247288,1.0
217,0.6937611,1.0
218,0.4783359,0.0
219,0.43923733,0.0
220,0.48211348,0.0
221,0.4123591,0.0
222,0.71396875,1.0
223,0.7457409,1.0
224,0.47060287,0.0
225,0.5033007,1.0
226,0.7135054,1.0
227,0.4497505,0.0
228,0.4424492,0.0
229,0.45420742,0.0
230,0.5382987,0.0
231,0.4233904,0.0
232,0.45526183,0.0
233,0.4840986,0.0
234,0.46548408,0.0
235,0.6523571,1.0
236,0.44741228,0.0
237,0.44018883,0.0
238,0.7187653,1.0
239,0.4823612,0.0
240,0.45503545,0.0
241,0.5986875,1.0
242,0.5417117,1.0
243,0.73458385,1.0
244,0.65191305,1.0
245,0.4516642,0.0
246,0.46375805,0.0
